status, county, narrative
fatality,Allegheny,"1. On December 8, 2014, a 5-month-old female child died as a result of physicalabuse. Allegheny County Office of Children, Youth and Families (ACOCYF) indicatedthe report on January 5, 2015, naming the mother’s paramour as the perpetrator.On December 7, 2014, the child was admitted to the intensive care unit ofChildren’s Hospital of Pittsburgh (CHP) with an acute subdural hematoma, mostlikely caused by abusive head trauma. The mother reported that the child had beensick for the past couple of days. The mother reported that at 10:30 PM the victimwas crying so the mother went to tend to her upstairs. She reported that she gavethe child a teething tablet and made her a bottle, which the child did not want. Themother reported that she sat and held the child for a few minutes and then put herback down. The mother reported that the child was smiling and cooing and shesounded hoarse from crying so hard, but she thought the child was calming downand her eyes were half shut. The mother reported that the child was looking at her,but then seemed to stare off. The mother reported that she picked up the victim,who then went limp. The mother reported that she immediately started back compressions and yelled to her brother to come help while she called 911. Themother reported the child’s maternal uncle came and did chest compressions whileshe started mouth to mouth. The mother stated that she and the maternal uncleare certified in CPR. The mother stated that her boyfriend, the paternal grandfather,the mother’s 4-year-old son and the mother’s two nieces were also in the home thatevening. An exam of the child at CHP showed a subdural hematoma, and a brainscan showed no signs of life. The doctor found the child’s injuries to be indicative ofphysical abuse and stated that the injuries were non-accidental. The cause of deathwas blunt force trauma to the head, and the manner of death was homicide. Theautopsy results showed a right humerus fracture that had occurred 7-10 days prior.A relative reported witnessing the mother’s paramour slam the child in her crib andthrow a blanket over her. The mother’s paramour was arrested and charged withcriminal homicide, aggravated assault, and endangering the welfare of a child. Thefamily was known to the county agency for parental neglect, and the mother’sparamour was the perpetrator on another case in which he physically abused histhen-girlfriend’s child. The perpetrator is in Allegheny County jail awaiting trial.Carbon County"
fatality,Carbon,"2. A 1-month-old male child died on October 17, 2014, as a result of physicalneglect. Carbon County Child and Youth Services (CCCYS) indicated the case onFebruary 13, 2015, naming the child’s mother as the perpetrator. The child died ofasphyxia due to the mother falling asleep in bed with the child. The motheradmitted that she was under the influence of drugs at the time of the incident. Itwas determined that after the child was fed a bottle in the middle of the night heslept in the bed with the mother and father. The child was sleeping soundly in hismother’s arms when the father woke up to go to the bathroom in the morning. Themother was reportedly lying on her side with the child sleeping between her armand chest. When the parents woke up later, the child was not breathing. The fatherperformed CPR until the police arrived. The child was taken to a hospital, but wasunresponsive. Following an autopsy, the coroner’s report concluded that the cause2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 2of the child’s death was asphyxia, and the manner was ruled a homicide. A bloodanalysis confirmed that the mother had numerous drugs in her system including:amphetamine, methamphetamine, Xanax, and methadone. She ultimately admittedto taking her prescribed methadone, as well as the other unprescribed drugs. Theparents have no other children. The family was known to the county agency in 2010when the mother was receiving services as a child due to incorrigible behaviors anddrug use. The mother was charged with involuntary manslaughter and endangering involuntary manslaughter on January 16, 2015.Chester County"
fatality,Chester,"3. On January 8, 2015, a 20-month-old male child died as a result of physicalabuse. Chester County Department of Children, Youth and Families (CCDCYF)indicated the case on March 4 with an unknown perpetrator. The child had beenresiding with non-familial caregivers in Pennsylvania since March 2014 while hisparents resided in Florida and were working to open a business.On January 7, 2015, the female caregiver was home with the child. She reportedthat she was in another room while the child was playing in the kitchen. She wentto check on him and found him under a table lying on a rug. A red mark wasreportedly observed on his forehead. He was able to be consoled and calmed downafter approximately 15 minutes. The caregiver placed him in his highchair to eat,but he fell asleep. She said she moved him to the couch and later to his bed, wherehe continued to sleep. The caregiver changed the child’s diaper and attempted togive him a drink of water at 11:30 PM. The next day, the child continued to sleepwhile the caregiver got her children ready for school. She attempted to get him toeat or drink from a spoon at around 9:00 AM, but realized there was somethingwrong with the child when she found that he was cold and shaking. She stated thatthe child did wake up, but did not seem to be acting like himself. The caregiverthen awoke her husband and they drove the child to Chester County Hospital,where medical professionals pronounced the child dead. An autopsy revealed thatthe child had head bruises of different ages, body bruises normal for a childlearning to walk, and an abnormal bleeding of his brain. Findings also included thatthe child may have been deceased for three to four hours before arriving at thehospital. The cause of death was determined to be blunt force trauma to the head,and the manner of death was pending further autopsy examinations. Theemergency room physician reported that the description of events provided by thecaregiver seemed inconsistent with some of the medical findings, and the physicianwas also concerned that medical attention had not been sought for the child sooner.It is not certain whether earlier medical treatment would have been able to savethe child’s life. The child’s parents were contacted regarding the child’s death andneither parent expressed any fear that someone had intentionally harmed the child.At this time, CCDCYF was not able to conclude who caused the injuries to the child.An assessment was conducted by CCDCYF regarding the caregiver’s two biologicalchildren in the home and no information was obtained to suggest that the childrenwere unsafe. The children remain in the home with their parents. The family is notreceiving any services from CCDCYF. The family does not have any previous2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 3involvement with CCDCYF. There are no criminal charges pending regarding thisincident.Lackawanna County"
fatality,Lackawanna,"4. On January 22, 2015, a 7-week-old male infant died from physical neglect.Lackawanna County Office of Youth and Family Services (LCOYFS) indicated both parents as perpetrators of abuse on March 17. The victim was found unresponsiveon the morning of January 22 by the parents, and his cause of death was sudden,unexplained death in infancy. The father called 911, but was vague in hisdescription of the circumstances. The parents were asked to submit to a drugscreen at the hospital as requested by the police, who were already on scene. Thefather stated he saw the baby at around 6 AM and again at noon. The motherstated she saw the baby at around 8 AM or 9 AM and then again at noon. It wasnoted that the baby’s diaper was saturated with urine. The couple’s 3-year-olddaughter was interviewed at the Child Advocacy Center on January 29 when shestated she saw her mother hitting her baby brother to wake him up. Multiple drugscreens were requested of both parents, however the father did not immediatelycomply. He admitted to using several drugs that were not prescribed to him. Bothparents ultimately complied. The mother tested positive for prescribed Percocet,while the father was positive for illegal and prescribed drugs. For several daysduring the course of the investigation the parents had an ongoing altercation thatresulted in the mother filing for a Protection from Abuse order against the father.The father was arrested, and during the ensuing investigation admitted he had seenthe baby the night before at 10:30 PM, but did not check on him again until noonon the day he died. The parents have since resumed their relationship. The victimchild’s sibling is in kinship foster care and receiving counseling at Friendship House.She does not respond well after visits from her parents. Both parents have beendischarged unsuccessfully from drug treatment and are not engaged in the familyservice plan. This family was known to LCOYFS from a referral in December 2014regarding the victim child being born drug addicted. Drug screenings were occurringfor the mother and scheduled for the father, but he did not comply. A riskassessment was completed, and the case was to have been closed January 21, children and reckless endangerment. The hearing is scheduled for October 2015.Lancaster County"
fatality,Lancaster,"5. A 1-year-old female child died in early January 2015 as a result of physicalabuse. Lancaster County Children and Youth Social Services Agency (LCCYSSA) indicated the case and named the child’s mother as the perpetrator on March 9. Thechild was last seen on January 2 bleeding from her nose and mouth. A witnessreported that the mother had beaten the child with a plastic cord resembling ajump rope. LCCYSSA made numerous unsuccessful attempts to locate the child andthe family. The mother was evasive and provided multiple false reports regardingthe whereabouts of the child. The child’s father was not living in the home with themother and children at the time of the incident. The father was unable to provideany information regarding the whereabouts of the mother and children. Lancaster2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 4City Police Department tracked down the child’s mother in another county onJanuary 23 at which time she admitted to killing the child and throwing her body inthe garbage. The child’s body has never been found. The exact date of death is notcertain, however the mother admitted to beating the child to death on either January 3 or January 4. The child’s father was not in a position to provide a stablehome environment so the child’s two siblings, ages 3 years and 2 months, wereplaced in foster care. Therapy services were provided to the child’s older sibling,who experienced measurable trauma from the ordeal. LCCYSSA had received two separate GPS reports on the family in late summer and early fall 2014. The firstreport claimed that drugs were being sold in the family’s residence. A lawenforcement investigation resulted in the arrest of two individuals in the home. Themother was to be charged with a summons for possession, but was not detained.LCCYSSA was unable to locate the family as their reported residence had acondemned notice and the door was padlocked. After several failed attempts tolocate the family, this case was closed. The second report was regarding concernsthat the father had passed out at a table inside a restaurant and the child waspresent with him. The father was arrested for public drunkenness and endangeringthe welfare of a child. Police released the child to her paternal grandparents. Themother is incarcerated without bail awaiting criminal trial. She is charged withcriminal homicide, abuse of a corpse, intimidation, retaliation or obstruction in achild abuse case, simple assault, and endangering the welfare of a child.Luzerne County"
fatality,Luzerne,"6. A 21-month-old male child died January 11, 2015, as a result of physical abuse.The Northeast Regional Office of the Office of Children, Youth and Families (NERO)indicated the case and named the child’s biological maternal grandmother as the perpetrator on March 13. She had been the child’s kinship foster parent. After beingfound unresponsive in the home of his kinship caregivers January 11 the child wastaken by ambulance to Geisinger Wyoming Valley Hospital Emergency Room. Thechild had what appeared to be burn marks on his legs, different stages of bruisingon his back, bruises on his head, a blown out pupil, and scratches on his face. ACAT scan performed at the hospital showed old and new brain bleeds. The childunderwent surgery to remove blood clots from his brain and died in the operatingroom. The grandmother provided two different explanations for the child’s injuries,stating that he fell off the couch and that he bangs his head when he has tempertantrums. According to the attending medical professionals, neither explanation wasa plausible explanation for the injuries. There were three other children in the careof the maternal grandmother and maternal stepgrandfather at the time of thechild’s death. The two older half siblings were in the legal care and custody of thematernal grandmother and maternal stepgrandfather for the majority of their lives.The child’s full sibling was residing with him in kinship foster care since November2014 when both children were removed from their parents’ care.After the child’s death, all three surviving children were taken into protectivecustody and are residing in the same foster home. During the course of theinvestigation, it was determined that the child’s full sibling had a fractured clavicleand bruising to his lower back. This initiated a separate investigation, and neither2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 5the maternal grandmother nor maternal stepgrandfather could provide anexplanation for the sibling’s injuries. Both caregivers were found to be responsibleand indicated for the injuries to this sibling. The parents are involved in an intensivefamily reunification service and are working with Luzerne County Children andYouth Agency (LCCYA) to regain custody of the child’s full sibling. Services arebeing provided to the maternal grandmother and maternal stepgrandfather in aneffort to return the child’s older siblings, whom they had custody of, to their care.The parents have also been referred for counseling services. LCCYA had received six referrals on this family between October 2010 and January 2014. The referralswere regarding the child’s two half siblings, who were residing with their parents atthe time; the child; and his full sibling. The allegations included: lack ofsupervision, inappropriate discipline, physical injuries, frequent illness, neglect,dirty and unlivable housing conditions, and developmental issues regarding all ofthe children. All six of the reports were closed as the allegations wereunsubstantiated. However, the parents were referred to a parenting program andparticipated in early intervention services for the children. Another referral wasreceived in March 2014 which led to the family remaining open for GPS with LCCYA.Concerns included: the condition of the home, inappropriate sleeping arrangementsfor the children, parents partying and allowing people to stay at their house,drinking and playing loud music, fighting between the mother and father,developmental delays of the children, one of the children reportedly grabbingwomen’s crotches, inappropriate dressing of the children, and the children’sfrequent illness. Continued concern for the welfare of the children resulted in theNovember 2014 placement of the child and his full sibling with the maternalgrandmother and maternal stepgrandfather. There is an ongoing criminalinvestigation regarding the child’s death.Montgomery County"
fatality,Montgomery,"7. On January 5, 2015, a 4-month-old female child died as a result of physicalneglect. Montgomery County Office of Children and Youth (MCOCY) received areport of the child’s death on January 6 and on March 3 indicated two child carecenter employees as the perpetrators.On January 5 at 10:51 AM, the child was found unresponsive in a crib by a staffmember employed with the Wyndmoor Learning Center. The child was transportedto the Chestnut Hill Hospital by ambulance and pronounced dead at 11:40 AM.Pennsylvania Department of Human Services, Office of Child Development andEarly Learning (OCDEL) received a complaint on January 5 and conducted anunannounced monitoring of the child care center on the same day. A review of thechild care center’s on- site video footage showed the child sitting in a swing and astaff person standing behind the child and placing a sheet over the child’s head. Thefootage further revealed the same staff person roughly lifting the child out of theswing without unfastening the swings safety straps and walking out of the view ofthe camera with the child’s head still covered by the sheet. Based on the videofootage it could not be determined if the child was responsive at that time.2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 6MCOCY received the report regarding the child’s death and worked in conjunctionwith the Montgomery County Detectives Bureau and Springfield Township PoliceDepartment to investigate the report. The child care center workers stated that thechild was fussy that morning. Both parents dropped the child off that morning withno mention of medical concerns or changes with the child. A short while later thechild was placed into the swing in an attempt to soothe her. One worker said thatputting a sheet around the child’s face was a way to keep her pacifier in her mouth,but both denied putting a sheet over the child’s head that day. The other workersaid she “might have put a blanket up to the child’s chest area since it was cold inthe daycare.” This same worker said that after 20 minutes in the swing sheremoved the child and placed her into her crib, on her stomach, with her pacifier.When she went back to check on the child approximately 15 minutes later, the childwas not breathing and had blood coming out of her nose. The worker ran, with thechild, to the main office and was assisted by a co-worker to administer CPR untilthe ambulance arrived.As a result of the OCDEL monitoring visit, the child care center’s certificate ofcompliance was revoked due to multiple violations and was permanently closed. OnFebruary 27 the Medical Examiner’s office determined the child died of SuddenInfant Death Syndrome. Law enforcement determined that no criminal chargeswould be filed.Philadelphia County"
fatality,Philadelphia,"8. On January 31, 2015, a 2-year-old female died as a result of physical neglect.Philadelphia County Department of Human Services (DHS) indicated the case onFebruary 26 naming the child’s mother as the perpetrator. The child wastransported by ambulance to the Children’s Hospital of Philadelphia (CHOP) on thenight of January 28 after her mother found the child cool to the touch and notbreathing in her crib around 11:30 PM. The mother took the child to her paternalaunt’s bedroom for help. The paternal aunt called 911 and administered CPR untilan ambulance arrived. At the hospital it was found that the child tested positive formethadone. The mother said she did not know how the child had ingestedmethadone. The mother was receiving prescribed methadone treatments at a localclinic. According to the mother, she kept the medication in a locked box out of theway of the children. The child reportedly went to bed at 9:00 PM and woke upcrying once because she had a bad dream. The mother found her not breathingaround 11:30 PM.The mother was unable to provide an explanation of how the child ingested themethadone and suggested that the child may have gained access to it while at theon-site child care at the clinic earlier that day. DHS consulted with physicians atCHOP, who stated that if the child had accessed the methadone while at the clinicthat she would have presented with symptoms earlier in the day. The toxicologistreported that based on the timeline of the events, it was likely the child ingestedthe methadone at home as the child would have presented as symptomatic withintwo to four hours after ingesting the medications.2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 7On January 29 the child’s two biological siblings were medically evaluated andcleared with no areas of medical concern. However, there were concerns for theirsafety, so they were placed in protective custody by DHS. They are together in afoster home and are receiving grief counseling. The mother is scheduled to havesupervised weekly visits with the siblings. She was also referred by family court tohave drug screening, assessment, and monitoring, as well as a parenting capacityevaluation. The family is known to DHS. The mother was previously indicated in2007 for medical neglect of an older sibling of the child for not obtaining neededmedical treatment after the child was born with a cataract on her eye. DHS provided GPS to the family intermittently throughout 2009, 2010, and 2011. TheGPS reports involved concerns regarding inappropriate discipline, lack of housing,and lack of proper medical care for one of the child’s siblings. These reports wereall found to be invalid. In 2010, the child’s siblings were in foster care for 11months when the mother sought help for the children because she was unable toprovide them with a home. The siblings were again placed in foster care for a two-month period in early 2011 when the mother sought help for the children due to notbeing able to protect them from their father’s violence and threats of violence. Thechildren were subsequently returned to the mother’s care. The father wasincarcerated and remains as such. This case is under criminal investigation.Schuylkill County"
fatality,Schuylkill,"9. A 6-day-old female child died on January 15, 2015, as a result of suffocation.Schuylkill County Children and Youth Services (SCCYS) indicated the case onFebruary 25 naming the child’s mother as the perpetrator of physical neglect. Priorto the child’s death, SCCYS arranged a meeting between the mother and theprivate provider who supervises her visits with her children, who are in foster care,to review safe sleep guidelines. At the meeting, which occurred two days prior tothis incident, the mother stated she had a portable crib that the child was sleepingin. On the day of the incident, the child woke up at approximately 3:30 AM. Themother fed the child and said she was back to sleep by 4:00 AM. The female whoowned the home where the mother and child were staying woke the mother around6:30 AM when she noticed that the child was on her back between the mother’schest and the couch where the mother normally slept. The mother realized the child was not breathing and the homeowner contacted 911.During the investigation the mother reported that she had concerns with the childspitting up formula from her nose and mouth following feedings. She wasconcerned that the child would choke and because of this had been positioning thechild in an upright position on her chest after feedings. The mother has five other family has a history of involvement with SCCYS that dates back to 2009. Concernsreported include drug use, inappropriate discipline, truancy, domestic violence,and lack of follow through with medical appointments. SCCYS had been providing ongoing GPS to the family since January 2013. The mother continued to strugglewith meeting the basic needs of the children, coping with their behaviors, andproviding for their safety.2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 8SCCYS filed for protective custody of the children in May 2014 and placed them infoster care. SCCYS continues to provide services to the family in order to reunitethe mother and the children. The agency did receive notification of the child’s birthand made numerous attempts to locate the mother and the child prior to meetingwith them on January 13, but could not as the mother provided numerous fictitiousaddresses. No criminal charges have been filed.Near FatalitiesAllegheny County"
near fatality,Allegheny,"1. An 18-month-old female child nearly died on September 14, 2012, as a result ofphysical abuse. Allegheny County Office of Children Youth and Families (ACOCYF)submitted the status as pending criminal court on October 15, 2012, andsubsequently founded the case on January 21, 2015, naming the child’s mother andfather as perpetrators. The mother and father explained the injuries by suggestingthat the 6-year-old sibling had dropped toys on the victim child’s foot and that shehad inflicted injuries to herself by banging her head on hard surfaces. However, thetreating physicians reported that the explanations were not supported by themedical evidence, including the severity of her injuries.Emergency medical personnel transported the female child to the regional pediatrichospital on September 14 where the medical evaluation noted that the child wasunresponsive and actively seizing. Upon admission, the child was evaluated with:chronic and acute subdural hemorrhages; multiple healing fractures to one leg andtoes; significant bilateral retinal hemorrhages; and bruising to the forehead andbuttock. The mother was the sole caregiver at the time of the incident. The fatherhad taken the 6-year-old sibling to the doctor. The mother reported hearing thechild, who was in her crib in another room, banging her head in her crib. Themother reports removing the child from her crib, leaving her unsupervised inanother room while she prepared a bottle and then heard the child cry out.The mother said the child was limp and unresponsive so she called 911 to requestemergency medical assistance.Hospital medical personnel and ACOCYF caseworkers noted variations in themother’s account of father’s whereabouts and the length of time he was present inthe home between presentation of the 6 year old at the pediatric urgent care clinicand regional pediatric hospital. Upon receipt of the report and preliminaryassessment, the county agency immediately took custody of all of the children. Thechild and her 6-year-old sibling remained in the hospital while two additionalsiblings were placed with the paternal grandparents. The two siblings were medically evaluated at the regional pediatric hospital on September 16. Theevaluations were unremarkable.Upon discharge from the hospital, the 6-year-old child was placed with thegrandparents, who were evaluated and approved as kinship caregivers with hissiblings. On October 12 the grandparents requested the 6-year-old child’s removaldue to their inability to care for his behavioral health needs. He was placed in a2015 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2015 9resource foster home. The victim child was placed in the same home upon herdischarge from aftercare services. Due to ongoing criminal court proceedings, a nocontact order was issued for interaction between the children and their parents.Crisis in-home services were then instituted to supervise visitation between theparents and their children.This family was not known to ACOCYF prior to this near fatality report. The parentswere arrested on October 5, 2012, and charged with aggravated assault, recklesslyendangering another person, simple assault, and endangering the welfare ofchildren. Following a preliminary hearing, the parents were released on bond.On September 14, 2014, the father pled nolo contendere to two charges ofendangering the welfare of a child and was sentenced to 10 years probation. Onthis same date, the mother pled nolo contendere to the same charges and wassentenced to six months confinement and nine years probation."
